あせいくりっどろっと, A Sacred Lot, 名詞
えいえんのみこ, 永遠の巫女, 名詞
ざぽじてぃぶあんどねがてぃぶ, The Positive and Negative, 名詞
はいりーれすぽんしぶとぅーぷれいやーず, Highly Responsive to Prayers, 名詞
とうほうかいきだん, 東方怪奇談, 名詞
てんしでんせつ, 天使伝説, 名詞
おりえんたるまじしゃん, Oriental Magician, 名詞
はじゃのこだち, 破邪の小太刀, 名詞
まきょう, 魔鏡, 名詞
ざれじぇんどおぶかげ, the Legend of KAGE, 名詞
いざたおれゆくそのときまで, いざ、倒れ逝くその時まで, 名詞
しなばもろとも, 死なばもろとも, 名詞
せいゆうけんし, 星幽剣士, 名詞
あいりす, アイリス, 名詞
せいゆうてんし, 星幽天使, 名詞
＠みしてい, Civilization of Magic, 名詞
かぜのじんじゃ, 風の神社, 名詞
