じんかいふへんのぺしにずむ, 塵界不変のペシミズム, 名詞
しんきろうばやし, 心綺楼囃子, 名詞
にんきのあるばしょ, 人気のある場所, 名詞
にんきのないばしょ, 人気のない場所, 名詞
ほんじつのいちめんきじ, 本日の一面記事, 名詞
げんそうきょうのふたついわ, 幻想郷の二ッ岩, 名詞
うしみつじのさと, 丑三つ時の里, 名詞
もうしつのえもーしょん, 亡失のエモーション, 名詞
ぎょううん, 暁雲, 名詞
かんぱんたそがれしんぶん, 官板黄昏新聞, 名詞
やくしゃせんたく, 演者選択, 名詞
らすとわーどはつどう, ラストワード発動, 名詞
