よくぶかきれいこん, 欲深き霊魂, 名詞
しりょうのよざくら, 死霊の夜桜, 名詞
ごーすとりーど, ゴーストリード, 名詞
ようかいでらへようこそ, 妖怪寺へようこそ, 名詞
もんぜんのようかいこむすめ, 門前の妖怪小娘, 名詞
すてきなはかばでくらしましょ, 素敵な墓場で暮しましょ, 名詞
りじっどぱらだいす, リジッドパラダイス, 名詞
でざいあどらいぶ, デザイアドライブ, 名詞
ふるきあんしぇん, 古きユアンシェン, 名詞
ゆめどのだいしびょう, 夢殿大祀廟, 名詞
おおみわしんわでん, 大神神話伝, 名詞
ちいさなよくぼうのほしぞら, 小さな欲望の星空, 名詞
しょうとくでんせつ, 聖徳伝説 ~ True Administrator, 名詞
しょうとくでんせつ, 聖徳伝説, 名詞
ようかいうらさんどう, 妖怪裏参道, 名詞
さどのふたついわ, 佐渡の二ッ岩, 名詞
じんじゃのあたらしいかぜ, 神社の新しい風, 名詞
でざいあどりーむ, デザイアドリーム, 名詞
