うさみれんこ, 宇佐見蓮子, 名
まえりべりーはーん, マエリベリー・ハーン, 名

れいらぷりずむりばー, レイラ・プリズムリバー, 名
こんぱくようき, 魂魄妖忌, 名
みょうれん, 命蓮, 名
