えいせいとりふね, 衛星トリフネ, 名詞
とろやぐんのみつりん, トロヤ群の密林, 名詞
でざいあどらいぶ, デザイアドライブ, 名詞
ふぇありーぼうけんたん, フェアリー冒険譚, 名詞
あめのとりふねじんじゃ, 天鳥船神社, 名詞
よぞらのゆーふぉーろまんす, 夜空のユーフォーロマンス, 名詞
はるとまんのようかいしょうじょ, ハルトマンの妖怪少女, 名詞
あまのとりふねじんじゃのけっかい, 天鳥船神社の結界, 名詞
かんじょうのまてんろう, 感情の摩天楼 ~ Cosmic Mind, 名詞
かんじょうのまてんろう, 感情の摩天楼, 名詞
うちゅうにうかぶげんそうきょう, 宇宙に浮かぶ幻想郷, 名詞
