# 占守型
しむしゅ, 占守, 名
くなしり, 国後, 名
はちじょう, 八丈, 名
いしがき, 石垣, 名

#択捉型
えとろふ, 択捉, 名
まつわ, 松輪, 名
さど, 佐渡, 名
つしま, 対馬, 名
ふかえ, 福江, 名

# 日振型
ひぶり, 日振, 名
だいとう, 大東, 名

# 御蔵型
みくら, 御蔵, 名
やしろ, 屋代, 名

# 丁型
だいよんごうかいぼうかん, 第四号海防艦, 名
