# 揚陸艦
あきつまる, あきつ丸, 名
しんしゅうまる, 神州丸, 名

# 補給艦
かもい, 神威, 名
はやすい, 速吸, 名
はやすひ, 速吸, 名

# 潜水母艦
たいげい, 大鯨, 名
じんげい, 迅鯨, 名

# 工作艦
あかし, 明石, 名
