ながと, 長門, 名
むつ, 陸奥, 名
いせ, 伊勢, 名
ひゅうが, 日向, 名
ふそう, 扶桑, 名
やましろ, 山城, 名
こんごう, 金剛, 名
ひえい, 比叡, 名
はるな, 榛名, 名
きりしま, 霧島, 名
やまと, 大和, 名
むさし, 武蔵, 名
びすまるく, Bismarck, 名
りっとりお, Littorio, 名
ろーま, Roma, 名
あいおわ, Iowa, 名
うぉーすぱいと, Warspite, 名
がんぐーと, Гангут, 名
がんぐーと, Октябрьская революция, 名
おくちゃぶりすかやれヴぉりゅーつぃや, Октябрьская революция, 名
がんぐーと, ангут два, 名
リシュリュー, Richelieu, 名
ねるそん, Nelson, 名
ころらど, Colorado, 名
