# 最上型
もがみ, 最上, 名
みくま, 三隈, 名
すずや, 鈴谷, 名
くまの, 熊野, 名

# 古鷹型
ふるたか, 古鷹, 名
かこ, 加古, 名

# 青葉型
あおば, 青葉, 名
きぬがさ, 衣笠, 名

# 妙高型
みょうこう, 妙高, 名
なち, 那智, 名
あしがら, 足柄, 名
はぐろ, 羽黒, 名

# 高雄型
たかお, 高雄, 名
あたご, 愛宕, 名
まや, 摩耶, 名
ちょうかい, 鳥海, 名

# 利根型
とね, 利根, 名
ちくま, 筑摩, 名

# アドミラル・ヒッパー級
ぷりんつおいげん, Prinz Eugen, 名

# ザラ級
ざら, Zara, 名
ぽーら, Pola, 名

# ノーサンプトン級
ひゅーすとん, Houston, 名
