はくれいれいむ, 博麗靈夢, 名
おんみょうだま, 陰陽玉, 名
しんぎょく, SinGyoku, 名
ゆうげんまがん, YuugenMagan, 名
えりす, Elis, 名
さりえる, Sariel, 名
みま, Mima, 名
きくり, Kikuri, 名
こんがら, Konngara, 名
やまあるき, 山歩き, 名
ようせい, 妖精, 名
