ごうとくじみけ, 豪徳寺ミケ, 名
やましろたかね, 山城たかね, 名
こまくささんにょ, 駒草山如, 名
こまくさだゆう, 駒草太夫, 名
たまつくりみすまる, 玉造魅須丸, 名
くだまつかさ, 菅牧典, 名
いいずなまるめぐむ, 飯綱丸龍, 名
てんきゅうちまた, 天弓千亦, 名
ひめむしももよ, 姫虫百々世, 名
