かそだにきょうこ, 幽谷響子, 名
きょうこ, 響子, 名
みやこよしか, 宮古芳香, 名
よしか, 芳香, 名
かくせいが, 霍青娥, 名
せいが, 青娥, 名
せいがにゃんにゃん, 青娥娘々, 名
そがのとじこ, 蘇我屠自古, 名
とじこ, 屠自古, 名
もののべのふと, 物部布都, 名
ふと, 布都, 名
とよさとみみのみこ, 豊聡耳神子, 名
みこ, 神子, 名
ふたついわまみぞう, 二ッ岩マミゾウ, 名
# まみぞう, 二ッ岩マミゾウ, 名
