りぐる・ないとばぐ, リグル・ナイトバグ, 名
りぐるないとばぐ, リグル・ナイトバグ, 名
りぐる, リグル, 名
みすてぃあ・ろーれらい, ミスティア・ローレライ, 名
みすてぃあろーれらい, ミスティア・ローレライ, 名
みすてぃ, ミスティア, 名
かみしらさわけいね, 上白沢慧音, 名
けいね, 慧音, 名
はくれいれいむ, 博麗霊夢, 名
れいむ, 霊夢, 名
きりさめまりさ, 霧雨魔理沙, 名
まりさ, 魔理沙, 名
いなばてい, 因幡てゐ, 名
てい, てゐ, 名
れいせん・うどんげいん・いなば, 鈴仙・優曇華院・イナバ, 名
れいせんうどんげいんいなば, 鈴仙・優曇華院・イナバ, 名
うどんげ, 鈴仙・優曇華院・イナバ, 名
れいせん, 鈴仙, 名
やごころえいりん, 八意永琳, 名
えいりん, 永琳, 名
ほうらいさんかぐや, 蓬莱山輝夜, 名
かぐや, 輝夜, 名
ふじわらのもこう, 藤原妹紅, 名
もこう, 妹紅, 名
