もりちかりんのすけ, 森近霖之助, 名
ときこ, 朱鷺子, 名

ひえだのあきゅう, 稗田阿求, 名

わたつきのとよひめ, 綿月豊姫, 名
わたつきのよりひめ, 綿月依姫, 名
れいせん, レイセン, 名
じょうが, 嫦娥, 名

いばらかせん, 茨華仙, 名
いばらきかせん, 茨木華扇, 名

もとおりこすず, 本居小鈴, 名

おくのだみよい, 奥野田美宵, 名
