ｃ２きかん, C2機関, 固有名詞
はつれいだいじゅういちごうさくせん, 発令！第十一号作戦, 名詞, 2015/04/28 ~ 2015/05/18
はんげき！だいにじｓんさくせん, 反撃！第二次SN作戦, 名詞, 2015/08/10 ~ 2015/09/07
はんげきだいにじｓんさくせん, 反撃！第二次SN作戦, 名詞, 2015/08/10 ~ 2015/09/07
はんげき！だいにじえすえぬさくせん, 反撃！第二次SN作戦, 名詞, 2015/08/10 ~ 2015/09/07
はんげきだいにじえすえぬさくせん, 反撃！第二次SN作戦, 名詞, 2015/08/10 ~ 2015/09/07
とつにゅう！かいじょうゆそうさくせん, 突入！海上輸送作戦, 名詞, 2015/11/18 ~ 2015/12/08
とつにゅうかいじょうゆそうさくせん, 突入！海上輸送作戦, 名詞, 2015/11/18 ~ 2015/12/08
しゅつげき！れいごうさくせん, 出撃！礼号作戦, 名詞, 2016/02/10 ~ 2016/02/29
しゅつげきれいごうさくせん, 出撃！礼号作戦, 名詞, 2016/02/10 ~ 2016/02/29
かいせつ！きちこうくうたい, 開設！基地航空隊, 名詞, 2016/05/03 ~ 2016/06/01
かいせつきちこうくうたい, 開設！基地航空隊, 名詞, 2016/05/03 ~ 2016/06/01
げいげき！だいにじまれーおきかいせん, 迎撃！第二次マレー沖海戦, 名詞, 2016/08/12 ~ 2016/08/31
げいげきだいにじまれーおきかいせん, 迎撃！第二次マレー沖海戦, 名詞, 2016/08/12 ~ 2016/08/31
はつれい！「かんたいさくせんだいさんほう」, 発令！「艦隊作戦第三法」, 名詞, 2016/11/18 ~ 2016/12/09
はつれい！かんたいさくせんだいさんほう, 発令！「艦隊作戦第三法」, 名詞, 2016/11/18 ~ 2016/12/09
はつれいかんたいさくせんだいさんほう, 発令！「艦隊作戦第三法」, 名詞, 2016/11/18 ~ 2016/12/09
ていさつせんりょくきんきゅうてんかい！「ひかり」さくせん, 偵察戦力緊急展開！「光」作戦, 名詞, 2017/02/11 ~ 2017/02/28
ていさつせんりょくきんきゅうてんかい！ひかりさくせん, 偵察戦力緊急展開！「光」作戦, 名詞, 2017/02/11 ~ 2017/02/28
ていさつせんりょくきんきゅうてんかいひかりさくせん, 偵察戦力緊急展開！「光」作戦, 名詞, 2017/02/11 ~ 2017/02/28
しゅつげき！ほくとうとうめんだいごかんたい, 出撃！北東方面 第五艦隊, 名詞, 2017/05/02 ~ 2017/05/22
しゅつげきほくとうとうめんだいごかんたい, 出撃！北東方面 第五艦隊, 名詞, 2017/05/02 ~ 2017/05/22
なんぽうさいだつう！おうしゅうきゅうじょさくせん, 西方再打通！欧州救援作戦, 名詞, 2017/08/10 ~ 2017/09/12
なんぽうさいだつうおうしゅうきゅうじょさくせん, 西方再打通！欧州救援作戦, 名詞, 2017/08/10 ~ 2017/09/12
しょうごうけっせん！ゆうげき、れいておきかいせん, 捷号決戦！邀撃、レイテ沖海戦, 名詞, 前編: 2017/11/17 ~ 2017/12/11 後編: 2018/02/17 ~ 2018/03/23
しょうごうけっせんゆうげき、れいておきかいせん, 捷号決戦！邀撃、レイテ沖海戦, 名詞, 前編: 2017/11/17 ~ 2017/12/11 後編: 2018/02/17 ~ 2018/03/23
しょうごうけっせんゆうげきれいておきかいせん, 捷号決戦！邀撃、レイテ沖海戦, 名詞, 前編: 2017/11/17 ~ 2017/12/11 後編: 2018/02/17 ~ 2018/03/23
ばつびょう！れんごうかんたい、にしへ！, 抜錨！連合艦隊、西へ！, 名詞, 2018/09/08 ~ 2018/10/10
ばつびょうれんごうかんたい、にしへ！, 抜錨！連合艦隊、西へ！, 名詞, 2018/09/08 ~ 2018/10/10
ばつびょうれんごうかんたいにしへ, 抜錨！連合艦隊、西へ！, 名詞, 2018/09/08 ~ 2018/10/10
ゆうげき！ぶいんぼうえいさくせん, 邀撃！ブイン防衛作戦, 名詞, 2018/12/26 ~ 2019/01/18
ゆうげきぶいんぼうえいさくせん, 邀撃！ブイン防衛作戦, 名詞, 2018/12/26 ~ 2019/01/18
はつどう！ゆうぐんきゅうじょだいにじはわいさくせん, 発動！友軍救援「第二次ハワイ作戦」, 名詞, 2019/05/21 ~ 2019/06/25
はつどうゆうぐんきゅうじょだいにじはわいさくせん, 発動！友軍救援「第二次ハワイ作戦」, 名詞, 2019/05/21 ~ 2019/06/25
おうしゅうほうめんはんげきさくせんはつどう！しんぐるさくせん, 欧州方面反撃作戦 発動！「シングル作戦」, 名詞, 2019/08/31 ~ 2019/09/30
おうしゅうほうめんはんげきさくせんはつどうしんぐるさくせん, 欧州方面反撃作戦 発動！「シングル作戦」, 名詞, 2019/08/31 ~ 2019/09/30
しんげき！だいじにさくせんなんぽうさくせん, 進撃！第二次作戦「南方作戦」, 名詞, 2019/11/30 ~ 2020/01/14
しんげきだいじにさくせんなんぽうさくせん, 進撃！第二次作戦「南方作戦」, 名詞, 2019/11/30 ~ 2020/01/14
もものせっく！おきにたつなみ, 桃の節句！沖に立つ波, 名詞, 2020/03/03 ~ 2020/03/27
もものせっくおきにたつなみ, 桃の節句！沖に立つ波, 名詞, 2020/03/03 ~ 2020/03/27
しんこうそし！とうしょぼうえいきょうかさくせん, 侵攻阻止！島嶼防衛強化作戦, 名詞, 2020/06/27 ~ 
しんこうそしとうしょぼうえいきょうかさくせん, 侵攻阻止！島嶼防衛強化作戦, 名詞, 2020/06/27 ~ 

かいきょうしょう, 海峡賞, 名詞
しょうごうしょう, 捷号賞, 名詞

こう, 甲, 名詞
おつ, 乙, 名詞
へい, 丙, 名詞
てい, 丁, 名詞
ちょう, 丁, 名詞
つちのえ, 戊, 名詞
ぼ, 戊, 名詞

だすびだーにゃ, до свидания, 名詞
はらしょー, хорошо, 名詞
すぱしーぱ, cпасибо, 名詞
どぅゔぁ, два, 名詞
だんけ, danke, 名詞
ぐーてんもるげん, guten morgen, 名詞
ぐーてんもーげん, guten morgen, 名詞

でかぶりすと, Декабрист, 名詞

かたつむり, り陸奥たか, 名詞

ずいずい, ｽﾞｲ (((ง˘ω˘)ว))ｽﾞｲ, 名詞
